Route_of_administration_intramuscular,Route_of_administration_intratracheal,Route_of_administration_intravenous,Model_type_A549,Model_type_BDMC,Model_type_BMDM,Model_type_HBEC_ALI,Model_type_HEK293T,Model_type_HeLa,Model_type_IGROV1,Model_type_Mouse,Model_type_RAW264p7,Cargo_type_mRNA,Cargo_type_pDNA,Cargo_type_siRNA,size,PDI
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,75.34,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,98.49,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,86.58,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,134,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,106.4,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,119.9,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,91.87,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,67.78,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,103,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,79.75,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,105.8,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,94.88,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,151.6,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,88.63,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,87.79,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,82.64,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,96.85,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,83.46,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,104.2,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,102.3,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100.9,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,73.23,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,99.17,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,72.59,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,77.94,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,67.36,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,66.43,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,75.49,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,103.4,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,86.96,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,84.72,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,77.34,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,96.96,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,92.76,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,103.6,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,69.63,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,124.3,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,198.6,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,80.54,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,90.02,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,97.37,0.0 ~ 0.2
