smiles,Amine,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,Delivery_target,Biodistribution_lymph_nodes,Biodistribution_heart,Biodistribution_liver,Biodistribution_spleen,Biodistribution_lung,Biodistribution_kidney,Biodistribution_muscle,quantified_total_luminescence,quantified_delivery,toxic
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,,0.00167236193574396,0.848665421605967,0.144098339320739,0.0037084376236047,0.0018554395139452,,1,0.678754151,0.0
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,0.0297656858896609,0.000244336475601744,0.0095154780788794,0.0081769588532059,0.0004723060696304,0.0045879123870782,0.947237322245943,0.549425262386022,-0.01206253,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,,0.00411439872497652,0.670601694270008,0.311096989874152,0.0085037974740476,0.0056831196568153,,0.0620258136097327,-0.75933849,
O=C(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCCC)=O)CCCCCCOC(CCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCC)=O)CCCCCCC,ser,0,0,1,body,,,,,,,,,,
O=C(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O)CO)CCCCCCOC(CCCCCC)=O)CCCCCC,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,1,0,body,0.0052368186383033,0.000823668079767528,0.0097731818399192,0.0124596675509096,0.0026797343332873,0.0036361795078808,0.965390750049932,0.316498770359056,-0.369183098,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,1,0,body,,0.010109099822305,0.45796731805265,0.507501663530466,0.0194068402228631,0.0050150783717161,,0.0817828774610745,-0.729047157,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0063183476389309,0.000504819647616299,0.140779687268235,0.0297514168337676,0.0006178921260065,0.0011394500617625,0.820888386423681,1,0.678754151,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,,0.00283873189227405,0.901276452952094,0.0938738308613158,0.0014101997474114,0.0006007845469048,,1,0.678754151,0.0
O=C(NCCCN(CCCCCCCCCC)CCCCCCCCCC)[C@H](C)N(CCCCCCCCCC)CCCCCCCCCC,ala,1,0,0,body,,,,,,,,,,
